loss,accuracy,val_loss,val_accuracy,lr
0.3271465599536896,0.8965179324150085,0.04859091714024544,0.9850000143051147,0.001
0.11379896849393845,0.9654971361160278,0.04038221761584282,0.9871428608894348,0.001
0.08119902014732361,0.9745600819587708,0.03381606191396713,0.9895238280296326,0.001
0.07275664061307907,0.9777401089668274,0.02935401163995266,0.991190493106842,0.001
0.061998117715120316,0.9802840948104858,0.0229584202170372,0.9916666746139526,0.001
0.055813271552324295,0.9830400943756104,0.029229911044239998,0.991190493106842,0.001
0.051964085549116135,0.9844445586204529,0.03158906102180481,0.9895238280296326,0.001
0.0481141023337841,0.9855575561523438,0.0253121480345726,0.993571400642395,0.001
0.04832673445343971,0.9859020709991455,0.01974221132695675,0.9947618842124939,0.001
0.04211100563406944,0.986564576625824,0.015229728072881699,0.994523823261261,0.001
0.04225875809788704,0.9870945811271667,0.02460639923810959,0.9928571581840515,0.001
0.041383046656847,0.9872270226478577,0.016437333077192307,0.9938095211982727,0.001
0.03767705708742142,0.9888965487480164,0.0222361758351326,0.9916666746139526,0.001
0.038598399609327316,0.9881545305252075,0.022808264940977097,0.9921428561210632,0.001
0.035143788903951645,0.9892145395278931,0.02361207827925682,0.9928571581840515,0.001
0.0353403277695179,0.9891085624694824,0.020236020907759666,0.9938095211982727,0.001
0.03552833944559097,0.9896915555000305,0.023760098963975906,0.9928571581840515,0.001
0.03533538803458214,0.9894265532493591,0.026262525469064713,0.9926190376281738,0.001
0.030945973470807076,0.9903805255889893,0.019947286695241928,0.9930952191352844,0.001
0.0313192680478096,0.9901420474052429,0.017758991569280624,0.9940476417541504,0.001
